"1 - UInt32","2 - String","3 - UInt32","4 - String","5 - UInt32","6 - UInt32","7 - UInt32","8 - Byte","9 - Int16","10 - Int16","11 - Int16","12 - Int16","13 - Int16","14 - Int16","15 - Int16","16 - Int16","17 - Int16","18 - Int16","19 - Int16","20 - Int16","21 - Int16","22 - Byte","23 - Byte","24 - Byte","25 - Byte","26 - Byte","27 - Byte","28 - Byte","29 - Byte","30 - Byte","31 - Int16","32 - Int16","33 - Int16","34 - Int16","35 - Int16","36 - Int16","37 - Int16","38 - Int16","39 - Int16","40 - Int16","41 - Int16","42 - Int16","43 - Int16","44 - UInt32","45 - UInt32","46 - Int16","47 - Int16","48 - Int16","49 - Int16","50 - Int16","51 - Int16","52 - Int16","53 - Int16"
"0","Tester Ring","339910000","기본","0","0","0","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","10","10","0","0","0","15","15","15","15","15","15","0","0","0","0","0","0","0","0","0","0"
"1","Fire Earring","310310000","","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","15","0","0","10","10","10","460001","0","0","0","0","0","0","0","0","0"
"2","Ice Earring","310310000","","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","0","15","0","10","10","10","460002","0","0","0","0","0","0","0","0","0"
"3","Lighting Earring","310310000","","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","0","0","15","10","10","10","460003","0","0","0","0","0","0","0","0","0"
"4","Mage Earring","310310000","","0","0","0","4","0","0","0","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","20","40","10","10","10","30","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Warrior Earring","310310000","","0","0","0","4","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","80","0","10","10","10","0","30","0","0","0","0","0","0","0","0","0","0","0"
"6","Rogue Earring","310310000","","0","0","0","4","0","0","0","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","40","40","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Cleric Earring","310310000","","0","0","0","4","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","50","40","10","10","10","10","10","0","0","0","0","0","0","0","0","0","0","0"
"8","Magic Earring","310310000","","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","100","0","0","0","30","20","10","460004","0","0","0","0","0","0","0","0","0"
"9","Elemental Earring","310310000","","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","50","50","10","10","10","0","0","0","460005","0","0","0","0","0","0","0","0","0"
"10","Iron Earring","310310000","","0","0","0","4","0","0","0","0","0","1","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","100","0","0","0","0","0","0","0","460006","0","0","0","0","0","0","0","0","0"
"11","Lobo Pendant","320410000","","0","0","0","4","0","0","0","0","0","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Lupus Pendant","320410000","","0","0","0","4","0","0","0","0","0","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Lycaon Pendant","320410000","","0","0","0","4","0","0","0","0","0","1","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","15","15","15","15","15","0","0","0","0","0","0","0","0","0","0"
"14","Kekuri Ring","330310000","","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","15","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","good fortune fragrant bag","910037000","퀘스트","0","0","0","6","0","0","0","0","0","1","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","20","20","20","20","20","20","0","0","0","0","0","0","0","0","0","0"
"101","Dark Vane","119101000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","5","0","0","-100","-100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Hanguk Sword","129101000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Hell Breaker","149101000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","Enion Bow","169101000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Smite Hammer","199101000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","5","0","0","0","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Wreath of Erenion","189101000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","5","0","0","0","1","0","20","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Glacier Erenion","189201000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","5","0","0","1","0","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Lightning Erenion","189301000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","5","1","0","20","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Ron's Staff","189401000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","0","0","0","0","0","0","20","20","20","0","0","0","0","0","0","0","0","5","0","1","0","20","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Defender of the Lord","179101000","무한대전","0","0","0","4","0","100","0","0","4000","1","0","5","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","Dark Vane(+1)","119101000","무한대전","0","0","0","4","0","100","0","0","5000","1","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","5","0","0","-100","-100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Dark Vane(+2)","119101000","무한대전","0","0","0","4","4","100","0","0","5500","1","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","6","0","0","-110","-110","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"203","Dark Vane(+3)","119101000","무한대전","0","0","0","4","8","100","0","0","6000","1","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","7","0","0","-120","-120","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"204","Dark Vane(+4)","119101000","무한대전","0","0","0","4","12","100","0","0","6500","1","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","8","0","0","-130","-130","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0"
"205","Dark Vane(+5)","119101000","무한대전","0","0","0","4","16","100","0","0","7000","1","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","9","0","0","-140","-140","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0"
"206","Dark Vane(+6)","119101000","무한대전","12130","0","0","4","20","100","0","0","7500","1","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","0","0","10","0","0","-150","-150","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0"
"207","Dark Vane(+7)","119101000","무한대전","12130","0","0","4","24","100","0","0","8000","1","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","11","0","0","-160","-160","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0"
